Starting pygame as no macOS has been detected
pygame 2.6.1 (SDL 2.28.4, Python 3.12.3)
Hello from the pygame community. https://www.pygame.org/contribute.html
         5112270 function calls (4771430 primitive calls) in 7.599 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 calendar.py:189(Calendar)
      350    0.000    0.000    0.000    0.000 {built-in method numpy.core._multiarray_umath.add_docstring}
    40/31    0.000    0.000    0.022    0.001 css_parser.py:746(parse_pseudo_open)
        1    0.000    0.000    0.000    0.000 stringprep.py:1(<module>)
        4    0.000    0.000    0.001    0.000 concat.py:1(<module>)
        1    0.000    0.000    0.000    0.000 accessor_dt.py:317(DatetimeAccessor)
        1    0.000    0.000    0.012    0.012 ufuncs.py:1(<module>)
        1    0.000    0.000    0.000    0.000 indexing.py:1820(PandasMultiIndexingAdapter)
      189    0.000    0.000    0.031    0.000 context.py:47(<genexpr>)
       72    0.000    0.000    0.002    0.000 config.py:811(inner)
       10    0.000    0.000    0.001    0.000 deprecation.py:316(delete_parameter)
       10    0.000    0.000    0.000    0.000 flexparser.py:131(__init_subclass__)
        2    0.000    0.000    0.001    0.001 period.py:1(<module>)
       31    0.000    0.000    0.004    0.000 base.py:241(__init__)
       86    0.000    0.000    0.001    0.000 __init__.py:757(normalize)
        1    0.000    0.000    0.000    0.000 polynomial.py:1472(Polynomial)
        2    0.000    0.000    0.000    0.000 formula.py:1(<module>)
        2    0.000    0.000    0.005    0.002 request.py:1(<module>)
        1    0.000    0.000    0.001    0.001 cast.py:1(<module>)
       65    0.000    0.000    0.000    0.000 _docscrape.py:287(parse_item_name)
        1    0.000    0.000    0.001    0.001 multi.py:227(MultiIndex)
        1    0.000    0.000    0.001    0.001 status_codes.py:109(_init)
        1    0.000    0.000    0.000    0.000 argparse.py:216(_Section)
        1    0.000    0.000    0.000    0.000 {function SeedSequence.generate_state at 0x7a4adf542160}
       65    0.000    0.000    0.000    0.000 {built-in method numpy.empty}
        1    0.000    0.000    0.133    0.133 frame.py:1(<module>)
       28    0.000    0.000    0.004    0.000 _backend.py:173(generate_multimethod)
      100    0.000    0.000    0.000    0.000 _generate_schema.py:355(_types_namespace)
        1    0.000    0.000    0.011    0.011 dataset.py:1(<module>)
        1    0.000    0.000    0.006    0.006 json_schema.py:1(<module>)
       33    0.000    0.000    0.000    0.000 {method 'tolist' of 'memoryview' objects}
        3    0.000    0.000    0.018    0.006 dtypes.py:1(<module>)
       34    0.000    0.000    0.001    0.000 ipaddress.py:2238(__init__)
      638    0.000    0.000    0.000    0.000 fields.py:523(deprecation_message)
       75    0.000    0.000    0.001    0.000 css_types.py:251(__init__)
       28    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:662(spec_from_loader)
        6    0.000    0.000    0.000    0.000 numeric.py:2507(extend_all)
      133    0.000    0.000    0.000    0.000 expr.py:181(<genexpr>)
      137    0.000    0.000    0.000    0.000 core.py:1753(set_whitespace_chars)
      191    0.000    0.000    0.000    0.000 doc.py:11(create_section_header)
       36    0.000    0.000    0.001    0.000 deprecation.py:187(finalize)
        1    0.000    0.000    0.002    0.002 expanding.py:51(Expanding)
       15    0.000    0.000    0.000    0.000 base.py:549(find)
        1    0.000    0.000    0.058    0.058 computation.py:1(<module>)
       88    0.000    0.000    0.000    0.000 ipaddress.py:1213(_parse_octet)
       24    0.000    0.000    0.000    0.000 util.py:16(lower)
        2    0.000    0.000    0.004    0.002 pickle.py:1(<module>)
        3    0.000    0.000    0.053    0.018 compat.py:1(<module>)
      168    0.000    0.000    0.003    0.000 __init__.py:312(<genexpr>)
       19    0.000    0.000    0.001    0.000 path.py:99(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:1266(ZipFile)
        1    0.000    0.000    0.000    0.000 _parser.py:241(parserinfo)
        1    0.000    0.000    0.001    0.001 array.py:237(ArrowExtensionArray)
      593    0.000    0.000    0.000    0.000 {built-in method builtins.globals}
        1    0.000    0.000    0.000    0.000 _rbf.py:55(Rbf)
      633    0.000    0.000    0.000    0.000 flexparser.py:1132(consume_closing)
      136    0.000    0.000    0.000    0.000 main.py:102(generate_hash_function)
      632    0.000    0.000    0.000    0.000 _generate_schema.py:1788(<lambda>)
       11    0.000    0.000    0.008    0.001 version.py:1(<module>)
        1    0.000    0.000    0.008    0.008 validators.py:1(<module>)
       12    0.000    0.000    0.000    0.000 _parser.py:996(parse_template)
        1    0.000    0.000    0.000    0.000 tokens.py:1(<module>)
       32    0.000    0.000    0.000    0.000 arraypad.py:458(_as_pairs)
       52    0.000    0.000    0.000    0.000 _docscrape.py:572(get_func)
       20    0.000    0.000    0.000    0.000 typing.py:1153(__call__)
      153    0.000    0.000    0.000    0.000 __init__.py:255(escape)
       20    0.000    0.000    0.003    0.000 _core_utils.py:302(handle_tagged_union_schema)
        6    0.000    0.000    0.066    0.011 parameters.py:1(<module>)
       89    0.000    0.000    0.009    0.000 pathlib.py:1007(open)
        1    0.000    0.000    0.006    0.006 _mstats_basic.py:1(<module>)
       67    0.000    0.000    0.000    0.000 {built-in method numpy.asarray}
       24    0.000    0.000    0.000    0.000 _add_newdocs_scalars.py:71(add_newdoc_for_scalar_type)
        1    0.000    0.000    0.122    0.122 patches.py:1(<module>)
       49    0.000    0.000    0.007    0.000 __init__.py:794(<genexpr>)
      411    0.000    0.000    0.000    0.000 registry.py:99(get_group)
      327    0.000    0.000    0.000    0.000 {method 'mro' of 'type' objects}
        1    0.000    0.000    0.005    0.005 _mathtext.py:1(<module>)
        1    0.000    0.000    0.000    0.000 colordict.py:1(<module>)
      183    0.000    0.000    0.000    0.000 textwrap.py:482(prefixed_lines)
        1    0.000    0.000    0.000    0.000 exceptions.py:189(DTypePromotionError)
      209    0.000    0.000    0.000    0.000 {built-in method from_iterable}
       10    0.000    0.000    0.000    0.000 path.py:191(_create_closed)
        4    0.000    0.000    0.016    0.004 _util.py:1(<module>)
      291    0.000    0.000    0.000    0.000 inspect.py:517(isbuiltin)
        2    0.000    0.000    0.062    0.031 times.py:1(<module>)
        4    0.000    0.000    0.010    0.003 accessor.py:1(<module>)
        1    0.000    0.000    0.001    0.001 markers.py:155(MarkerStyle)
        2    0.000    0.000    0.006    0.003 shape_base.py:1(<module>)
       92    0.000    0.000    0.000    0.000 __init__.py:234(_acquireLock)
        1    0.000    0.000    0.000    0.000 filter.py:43(ElementFilter)
       27    0.000    0.000    0.000    0.000 artist.py:45(allow_rasterization)
        2    0.000    0.000    0.030    0.015 axis.py:1(<module>)
        1    0.000    0.000    0.056    0.056 dataclasses.py:1(<module>)
        3    0.000    0.000    0.001    0.000 missing.py:1(<module>)
       89    0.000    0.000    0.000    0.000 __init__.py:457(_replace)
        1    0.000    0.000    0.001    0.001 ctypeslib.py:360(_get_scalar_type_map)
       18    0.000    0.000    0.000    0.000 typing.py:2112(runtime_checkable)
        1    0.000    0.000    0.017    0.017 _model_construction.py:1(<module>)
        2    0.000    0.000    0.012    0.006 format.py:1(<module>)
       21    0.000    0.000    0.000    0.000 __init__.py:213(__getattr__)
        1    0.000    0.000    0.000    0.000 pytables.py:2034(IndexCol)
       18    0.000    0.000    0.000    0.000 __init__.py:226(_from_iter)
        1    0.000    0.000    0.001    0.001 more.py:1(<module>)
      200    0.000    0.000    0.000    0.000 main.py:298(__instancecheck__)
      224    0.000    0.000    0.000    0.000 {method 'span' of 're.Match' objects}
       55    0.000    0.000    0.001    0.000 base.py:101(__init__)
       52    0.000    0.000    0.000    0.000 <frozen posixpath>:256(expanduser)
       79    0.000    0.000    0.001    0.000 __init__.py:675(joinpath)
       20    0.000    0.000    0.002    0.000 core.py:5040(parseImpl)
       63    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1349(_get_parent_path)
       99    0.000    0.000    0.000    0.000 rcsetup.py:66(__call__)
       19    0.000    0.000    0.002    0.000 core.py:269(_trim_arity)
      102    0.000    0.000    0.012    0.000 ufuncs.py:46(__init__)
       78    0.000    0.000    0.000    0.000 util.py:113(set_)
        6    0.000    0.000    0.002    0.000 fields.py:758(prepare_discriminated_union_sub_fields)
        1    0.000    0.000    0.007    0.007 core.py:2532(add_operators_to_AffineScalarFunc)
        2    0.000    0.000    0.000    0.000 inspect.py:562(_getmembers)
       12    0.000    0.000    0.001    0.000 extension.py:125(wrapper)
       40    0.000    0.000    0.000    0.000 {method '__typing_subst__' of 'typing.TypeVar' objects}
        1    0.000    0.000    0.003    0.003 cbook.py:1(<module>)
        1    0.000    0.000    0.005    0.005 dataarray_plot.py:1(<module>)
        1    0.000    0.000    0.014    0.014 _json.py:1(<module>)
       17    0.000    0.000    0.000    0.000 functools.py:970(__set_name__)
        1    0.000    0.000    0.023    0.023 dataarray.py:1(<module>)
      172    0.000    0.000    0.000    0.000 _generate_schema.py:2231(__init__)
        4    0.000    0.000    0.000    0.000 typing_extensions.py:432(__init__)
      628    0.000    0.000    0.000    0.000 pint_eval.py:72(__iter__)
      2/1    0.000    0.000    0.010    0.010 mimetypes.py:72(__init__)
      113    0.000    0.000    0.000    0.000 inspect.py:2507(<lambda>)
       91    0.000    0.000    0.003    0.000 __init__.py:3129(_get_metadata)
       18    0.000    0.000    0.001    0.000 feedparser.py:100(push)
        1    0.000    0.000    0.000    0.000 tarfile.py:748(LinkOutsideDestinationError)
        2    0.000    0.000    0.064    0.032 alignment.py:1(<module>)
        2    0.000    0.000    0.003    0.001 polynomial.py:1(<module>)
        2    0.000    0.000    0.003    0.001 connection.py:1(<module>)
        2    0.000    0.000    0.010    0.005 quantity.py:1(<module>)
        6    0.000    0.000    0.001    0.000 input.py:6(Input)
       91    0.000    0.000    0.000    0.000 __init__.py:2580(fixup_namespace_packages)
      102    0.000    0.000    0.001    0.000 <frozen genericpath>:16(exists)
      316    0.000    0.000    0.000    0.000 rcsetup.py:878(_convert_validator_spec)
        1    0.000    0.000    0.004    0.004 _backend_tk.py:1(<module>)
      156    0.000    0.000    0.000    0.000 {built-in method sys._getframemodulename}
       25    0.000    0.000    0.010    0.000 feedparser.py:176(_call_parse)
      141    0.000    0.000    0.000    0.000 typing.py:961(_is_unpacked_typevartuple)
        1    0.000    0.000    0.006    0.006 blas.py:1(<module>)
        2    0.000    0.000    0.006    0.003 parse.py:1(<module>)
        3    0.000    0.000    0.001    0.000 timedeltas.py:1(<module>)
      390    0.000    0.000    0.000    0.000 {built-in method _stat.S_ISDIR}
        2    0.000    0.000    0.000    0.000 textwrap.py:238(_wrap_chunks)
        1    0.000    0.000    0.237    0.237 element.py:1(<module>)
       62    0.000    0.000    0.000    0.000 __init__.py:26(__new__)
       46    0.000    0.000    0.000    0.000 warnings.py:482(__enter__)
       92    0.000    0.000    0.001    0.000 core.py:2345(__init__)
        2    0.000    0.000    0.003    0.001 dates.py:1(<module>)
        1    0.000    0.000    0.066    0.066 cftime_offsets.py:1(<module>)
        1    0.000    0.000    0.000    0.000 ttk.py:339(Style)
      139    0.000    0.000    0.000    0.000 class_validators.py:234(inherit_validators)
        1    0.000    0.000    0.001    0.001 _add_docstring.py:27(_parse_docstrings)
      139    0.000    0.000    0.000    0.000 core.py:1973(__eq__)
      222    0.000    0.000    0.000    0.000 transforms.py:1329(<genexpr>)
       92    0.000    0.000    0.004    0.000 __init__.py:3685(<genexpr>)
        1    0.000    0.000    0.001    0.001 blocks.py:1(<module>)
       44    0.000    0.000    0.000    0.000 inspect.py:2259(RewriteSymbolics)
       10    0.000    0.000    0.001    0.000 typing_extensions.py:579(__new__)
       38    0.000    0.000    0.000    0.000 typing_extensions.py:2793(__call__)
        5    0.000    0.000    0.005    0.001 {method 'validate_python' of 'pydantic_core._pydantic_core.SchemaValidator' objects}
        2    0.000    0.000    0.000    0.000 frequencies.py:1(<module>)
       12    0.000    0.000    0.001    0.000 _known_annotated_metadata.py:167(apply_known_metadata)
      160    0.000    0.000    0.000    0.000 shape_base.py:207(_arrays_for_stack_dispatcher)
        1    0.000    0.000    0.031    0.031 url.py:1(<module>)
        1    0.000    0.000    0.019    0.019 flexcache.py:1(<module>)
       62    0.000    0.000    0.000    0.000 <frozen codecs>:309(__init__)
        1    0.000    0.000    0.002    0.002 extras.py:1(<module>)
        1    0.000    0.000    0.025    0.025 _hypotests.py:1(<module>)
        8    0.000    0.000    0.000    0.000 typing_extensions.py:518(_get_protocol_attrs)
        1    0.000    0.000    0.002    0.002 _type_aliases.py:1(<module>)
        1    0.000    0.000    0.005    0.005 _std_types_schema.py:1(<module>)
        1    0.000    0.000    0.002    0.002 sheet.py:1(<module>)
      197    0.000    0.000    0.001    0.000 typing.py:1542(<genexpr>)
       28    0.000    0.000    0.105    0.004 __init__.py:132(__getattr__)
       79    0.000    0.000    0.000    0.000 __init__.py:314(_from_text)
       30    0.000    0.000    0.000    0.000 rcsetup.py:52(__init__)
        1    0.000    0.000    0.114    0.114 _optimize.py:1(<module>)
        4    0.000    0.000    0.005    0.001 _constants.py:1(<module>)
       17    0.000    0.000    0.000    0.000 __init__.py:290(__getattr__)
        1    0.000    0.000    0.103    0.103 _axes.py:1(<module>)
      546    0.000    0.000    0.000    0.000 config.py:142(prepare_field)
       66    0.000    0.000    0.003    0.000 ast.py:34(parse)
       79    0.000    0.000    0.000    0.000 __init__.py:101(section_pairs)
       27    0.000    0.000    0.000    0.000 functional_validators.py:299(field_validator)
       25    0.000    0.000    0.000    0.000 {method 'read' of '_io.StringIO' objects}
      202    0.000    0.000    0.000    0.000 numpy_func.py:238(decorator)
      210    0.000    0.000    0.000    0.000 docscrape.py:403(<genexpr>)
       36    0.000    0.000    0.000    0.000 umath_core.py:85(wraps)
        1    0.000    0.000    0.000    0.000 dtypes.py:945(PeriodDtype)
        3    0.000    0.000    0.004    0.001 response.py:1(<module>)
       50    0.000    0.000    0.000    0.000 ipaddress.py:1920(__init__)
        1    0.000    0.000    0.000    0.000 _multiarray_umath.py:1(<module>)
        1    0.000    0.000    0.021    0.021 duck_array_ops.py:1(<module>)
      147    0.000    0.000    0.000    0.000 TiffTags.py:35(__new__)
       44    0.000    0.000    0.000    0.000 colors.py:57(__set__)
       13    0.000    0.000    0.001    0.000 _generate_schema.py:1831(_apply_single_annotation)
        2    0.000    0.000    0.005    0.003 categorical.py:1(<module>)
      202    0.000    0.000    0.000    0.000 {method 'partition' of 'str' objects}
      104    0.000    0.000    0.000    0.000 __init__.py:1006(__missing__)
        5    0.000    0.000    0.000    0.000 __init__.py:298(__init__)
        1    0.000    0.000    0.016    0.016 variable.py:1(<module>)
      484    0.000    0.000    0.000    0.000 css_types.py:73(__hash__)
        2    0.000    0.000    0.001    0.001 stepdefaults.py:11(StepDefaults)
        1    0.000    0.000    0.163    0.163 groupers.py:1(<module>)
        1    0.000    0.000    0.000    0.000 ops.py:1128(DataSplitter)
        1    0.000    0.000    0.000    0.000 axis.py:596(Axis)
        1    0.000    0.000    0.002    0.002 pydoc.py:1(<module>)
        2    0.000    0.000    0.129    0.064 accessors.py:1(<module>)
        1    0.000    0.000    0.001    0.001 arrayprint.py:1(<module>)
       14    0.000    0.000    0.003    0.000 core.py:115(doc_note)
        4    0.000    0.000    0.000    0.000 _pyio.py:76(open)
      431    0.000    0.000    0.000    0.000 enum.py:820(<genexpr>)
        1    0.000    0.000    0.004    0.004 resample.py:1(<module>)
       15    0.000    0.000    0.002    0.000 core.py:618(set_parse_action)
        4    0.000    0.000    0.000    0.000 core.py:5046(_generateDefaultName)
        8    0.000    0.000    0.000    0.000 __init__.py:1292(__init__)
      7/4    0.000    0.000    0.000    0.000 main.py:1030(validate_model)
     30/9    0.000    0.000    0.007    0.001 core.py:4524(leave_whitespace)
       44    0.000    0.000    0.002    0.000 flexparser.py:916(filter_by)
      190    0.000    0.000    0.000    0.000 __init__.py:2237(__init__)
        1    0.000    0.000    0.001    0.001 masked.py:107(BaseMaskedArray)
       91    0.000    0.000    0.002    0.000 __init__.py:1685(has_metadata)
       19    0.000    0.000    0.000    0.000 getlimits.py:484(__new__)
       19    0.000    0.000    0.001    0.000 artist.py:24(_prevent_rasterization)
       21    0.000    0.000    0.001    0.000 ipaddress.py:1502(__init__)
        6    0.000    0.000    0.000    0.000 {built-in method posix.cpu_count}
        8    0.000    0.000    0.000    0.000 __init__.py:87(__init__)
        6    0.000    0.000    0.115    0.019 externaldate.py:1(<module>)
       44    0.000    0.000    0.000    0.000 core.py:3063(_generateDefaultName)
        1    0.000    0.000    0.001    0.001 _filter_design.py:1(<module>)
       24    0.000    0.000    0.001    0.000 dtypes.py:66(_add_dtype_helper)
        1    0.000    0.000    0.007    0.007 book.py:1(<module>)
       31    0.000    0.000    0.000    0.000 {built-in method numpy.arange}
       59    0.000    0.000    0.000    0.000 core_schema.py:467(any_schema)
        6    0.000    0.000    0.000    0.000 {method 'readline' of '_io.BufferedReader' objects}
        5    0.000    0.000    0.001    0.000 decorator.py:144(make)
        2    0.000    0.000    0.000    0.000 sysconfig.py:352(get_default_scheme)
       67    0.000    0.000    0.000    0.000 results.py:210(__getitem__)
        1    0.000    0.000    0.000    0.000 table.py:70(TableStyleList)
       10    0.000    0.000    0.000    0.000 flexparser.py:514(set_delimiters)
    26/14    0.000    0.000    0.003    0.000 core.py:4242(parseImpl)
        2    0.000    0.000    0.001    0.000 construction.py:1(<module>)
       32    0.000    0.000    0.000    0.000 <frozen _collections_abc>:974(update)
        1    0.000    0.000    0.001    0.001 stata.py:1(<module>)
        1    0.000    0.000    0.002    0.002 take.py:1(<module>)
        2    0.000    0.000    0.006    0.003 _matfuncs.py:1(<module>)
        7    0.000    0.000    0.012    0.002 parser.py:41(parse)
        1    0.000    0.000    0.009    0.009 algorithms.py:1(<module>)
        1    0.000    0.000    0.001    0.001 legend.py:342(Legend)
        1    0.000    0.000    0.000    0.000 _cm.py:1(<module>)
        1    0.000    0.000    0.001    0.001 datatree.py:1(<module>)
        2    0.000    0.000    0.012    0.006 plain.py:1(<module>)
       10    0.000    0.000    0.000    0.000 flexparser.py:1138(on_stop_iteration)
        1    0.000    0.000    0.006    0.006 _resampling.py:1(<module>)
       44    0.000    0.000    0.000    0.000 results.py:554(copy)
       79    0.000    0.000    0.000    0.000 {method 'copy' of 'numpy.ndarray' objects}
        1    0.000    0.000    0.001    0.001 indexes.py:1(<module>)
      344    0.000    0.000    0.000    0.000 _generate_schema.py:2279(__init__)
        1    0.000    0.000    0.009    0.009 pathlib.py:1(<module>)
        1    0.000    0.000    0.005    0.005 hmac.py:1(<module>)
        1    0.000    0.000    0.007    0.007 _signaltools.py:1(<module>)
       22    0.000    0.000    0.000    0.000 core.py:1013(reset_cache)
       54    0.000    0.000    0.000    0.000 base.py:81(__init__)
        1    0.000    0.000    0.001    0.001 _add_newdocs_scalars.py:1(<module>)
       55    0.000    0.000    0.000    0.000 ipaddress.py:533(_split_addr_prefix)
        3    0.000    0.000    0.011    0.004 pivot.py:1(<module>)
        1    0.000    0.000    0.000    0.000 quantity.py:121(PlainQuantity)
        2    0.000    0.000    0.041    0.020 _parser.py:1(<module>)
       16    0.000    0.000    0.002    0.000 _discriminated_union.py:167(apply)
       79    0.000    0.000    0.000    0.000 __init__.py:208(_checkLevel)
        1    0.000    0.000    0.003    0.003 ExifTags.py:21(Base)
        1    0.000    0.000    0.001    0.001 TiffTags.py:1(<module>)
       46    0.000    0.000    0.000    0.000 warnings.py:503(__exit__)
        1    0.000    0.000    0.004    0.004 shutil.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _known_annotated_metadata.py:1(<module>)
      409    0.000    0.000    0.000    0.000 definitions.py:209(symbol)
        1    0.000    0.000    0.000    0.000 _compat_pickle.py:1(<module>)
      104    0.000    0.000    0.000    0.000 typing.py:1070(<genexpr>)
        1    0.000    0.000    0.002    0.002 helpers.py:545(_makeTags)
        8    0.000    0.000    0.000    0.000 __init__.py:401(discover)
       52    0.000    0.000    0.000    0.000 accessor.py:76(forbid_nonstring_types)
       30    0.000    0.000    0.000    0.000 warnings.py:182(_add_filter)
      248    0.000    0.000    0.000    0.000 patches.py:2271(<genexpr>)
       31    0.000    0.000    0.000    0.000 _decorators.py:679(ensure_classmethod_based_on_signature)
       20    0.000    0.000    0.000    0.000 getlimits.py:685(__init__)
        1    0.000    0.000    0.000    0.000 variable.py:372(Variable)
        6    0.000    0.000    0.054    0.009 timestamp.py:1(<module>)
       35    0.000    0.000    0.000    0.000 definitions.py:100(__post_init__)
      353    0.000    0.000    0.000    0.000 enum.py:241(__set_name__)
        2    0.000    0.000    0.022    0.011 image.py:1(<module>)
        1    0.000    0.000    3.355    3.355 Open.py:1(<module>)
       27    0.000    0.000    0.000    0.000 deprecation.py:176(finalize)
        1    0.000    0.000    0.003    0.003 npyio.py:1(<module>)
       19    0.000    0.000    0.000    0.000 _continuous_distns.py:58(_call_super_mom)
        2    0.000    0.000    0.041    0.021 markers.py:1(<module>)
        1    0.000    0.000    0.008    0.008 connectionpool.py:1(<module>)
      160    0.000    0.000    0.000    0.000 shape_base.py:608(_column_stack_dispatcher)
        1    0.000    0.000    0.000    0.000 _dia.py:1(<module>)
       52    0.000    0.000    0.001    0.000 fills.py:84(__init__)
        1    0.000    0.000    0.000    0.000 dviread.py:238(Dvi)
       11    0.000    0.000    0.000    0.000 __init__.py:64(check_isinstance)
        2    0.000    0.000    0.446    0.223 flexparser.py:1265(parse_file)
      164    0.000    0.000    0.000    0.000 contextlib.py:446(__exit__)
        1    0.000    0.000    0.060    0.060 adapters.py:1(<module>)
        1    0.000    0.000    0.001    0.001 multi.py:1(<module>)
       12    0.000    0.000    0.000    0.000 doccer.py:136(_doc)
       32    0.000    0.000    0.001    0.000 __init__.py:667(__init__)
       18    0.000    0.000    0.000    0.000 __init__.py:62(_process_keys)
       33    0.000    0.000    0.000    0.000 results.py:219(__setitem__)
        1    0.000    0.000    0.002    0.002 process.py:1(<module>)
       88    0.000    0.000    0.000    0.000 inspect.py:2240(parse_name)
        1    0.000    0.000    0.001    0.001 dammit.py:734(UnicodeDammit)
      170    0.000    0.000    0.001    0.000 cm.py:89(__getitem__)
        1    0.000    0.000    0.935    0.935 pintutils.py:1(<module>)
        1    0.000    0.000    0.000    0.000 pydoc.py:1904(Helper)
       38    0.000    0.000    0.003    0.000 typing.py:1390(copy_with)
        8    0.000    0.000    0.000    0.000 cftime_offsets.py:680(_generate_anchored_offsets)
        2    0.000    0.000    0.000    0.000 helper.py:1(<module>)
       63    0.000    0.000    0.000    0.000 definitions.py:44(variables)
      222    0.000    0.000    0.000    0.000 transforms.py:1335(<genexpr>)
       60    0.000    0.000    0.030    0.000 context.py:59(from_string_and_config)
        1    0.000    0.000    0.001    0.001 _pocketfft.py:1(<module>)
       92    0.000    0.000    0.000    0.000 __init__.py:753(__iter__)
      602    0.000    0.000    0.000    0.000 enum.py:251(__init__)
        1    0.000    0.000    0.000    0.000 datetimelike.py:196(DatetimeLikeArrayMixin)
        1    0.000    0.000    0.004    0.004 arpack.py:1(<module>)
       55    0.000    0.000    0.000    0.000 <frozen posixpath>:408(normpath)
        1    0.000    0.000    0.000    0.000 core.py:2697(MaskedArray)
       48    0.000    0.000    0.000    0.000 numpy_func.py:818(implement_consistent_units_by_argument)
       63    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1339(_find_parent_path_names)
        1    0.000    0.000    0.127    0.127 compute.py:1(<module>)
        1    0.000    0.000    0.003    0.003 _generics.py:1(<module>)
       51    0.000    0.000    0.000    0.000 typing.py:977(_typevar_subst)
        1    0.000    0.000    0.001    0.001 interval.py:159(IntervalIndex)
        2    0.000    0.000    0.010    0.005 legend.py:1(<module>)
       68    0.000    0.000    0.000    0.000 status_codes.py:116(doc)
        8    0.000    0.000    0.007    0.001 flexparser.py:1712(parse_bytes)
        1    0.000    0.000    0.000    0.000 _typed_ops.py:883(VariableOpsMixin)
        1    0.000    0.000    0.000    0.000 table.py:924(TableDefinition)
      136    0.000    0.000    0.000    0.000 class_validators.py:162(__init__)
       12    0.000    0.000    0.001    0.000 _std_types_schema.py:514(__get_pydantic_core_schema__)
        7    0.000    0.000    0.020    0.003 __init__.py:436(metadata)
    38/18    0.000    0.000    0.003    0.000 core.py:4512(parseImpl)
        1    0.000    0.000    0.000    0.000 __init__.py:668(Misc)
        1    0.000    0.000    0.000    0.000 datetimes.py:166(DatetimeArray)
        1    0.000    0.000    0.014    0.014 _minimize.py:1(<module>)
        1    0.000    0.000    0.017    0.017 nputils.py:1(<module>)
       49    0.000    0.000    0.001    0.000 core.py:131(get_object_signature)
       34    0.000    0.000    0.000    0.000 generic.py:13608(make_doc)
        1    0.000    0.000    0.293    0.293 backend_bases.py:1(<module>)
      104    0.000    0.000    0.000    0.000 {method 'groupdict' of 're.Match' objects}
        2    0.000    0.000    0.002    0.001 _backend.py:1(<module>)
       28    0.000    0.000    0.000    0.000 pathlib.py:618(stem)
        1    0.000    0.000    0.001    0.001 figure.py:181(FigureBase)
        6    0.000    0.000    0.037    0.006 input.py:1(<module>)
       10    0.000    0.000    0.000    0.000 _compound_unit_helpers.py:240(prepare_compount_unit)
    37/17    0.000    0.000    0.000    0.000 objects.py:86(members)
        1    0.000    0.000    0.007    0.007 _qmc.py:1(<module>)
        1    0.000    0.000    0.008    0.008 string_.py:1(<module>)
       30    0.000    0.000    0.002    0.000 pathlib.py:1083(glob)
        1    0.000    0.000    0.001    0.001 backend_wx.py:1(<module>)
       19    0.000    0.000    0.000    0.000 __init__.py:132(check_shape)
       92    0.000    0.000    0.000    0.000 __init__.py:243(_releaseLock)
        1    0.000    0.000    0.016    0.016 quiver.py:1(<module>)
       17    0.000    0.000    0.000    0.000 weakref.py:104(__init__)
        1    0.000    0.000    0.000    0.000 accessor.py:30(DataArrayPlotAccessor)
        1    0.000    0.000    0.035    0.035 index_tricks.py:1(<module>)
       47    0.000    0.000    0.000    0.000 rcsetup.py:357(validate_fontsize)
        1    0.000    0.000    0.227    0.227 registry.py:119(_build_cache)
      315    0.000    0.000    0.000    0.000 docscrape.py:53(reset)
      141    0.000    0.000    0.001    0.000 copy.py:252(<genexpr>)
      172    0.000    0.000    0.000    0.000 _config.py:205(__init__)
       51    0.000    0.000    0.000    0.000 core.py:1890(set_name)
       24    0.000    0.000    0.000    0.000 dviread.py:220(decorate)
      190    0.000    0.000    0.000    0.000 version.py:265(epoch)
       20    0.000    0.000    0.000    0.000 colors.py:1189(reversed)
        1    0.000    0.000    0.017    0.017 contour.py:1(<module>)
        3    0.000    0.000    0.000    0.000 six.py:882(wrapper)
      300    0.000    0.000    0.003    0.000 _adapters.py:64(redent)
       23    0.000    0.000    0.000    0.000 config.py:882(is_one_of_factory)
        4    0.000    0.000    0.000    0.000 _pep440.py:292(__init__)
        1    0.000    0.000    0.003    0.003 _quadrature.py:1(<module>)
       16    0.000    0.000    0.000    0.000 __init__.py:520(_cmpkey)
        1    0.000    0.000    0.000    0.000 base.py:110(ExtensionArray)
      299    0.000    0.000    0.000    0.000 astutils.py:160(<genexpr>)
        1    0.000    0.000    0.013    0.013 client.py:1(<module>)
       54    0.000    0.000    0.000    0.000 core.py:2438(parseImpl)
        1    0.000    0.000    0.003    0.003 apply.py:1(<module>)
      203    0.000    0.000    0.000    0.000 _internal.py:883(<genexpr>)
      406    0.000    0.000    0.000    0.000 converters.py:51(preprocess_kwargs)
       37    0.000    0.000    0.000    0.000 unit.py:36(__init__)
        1    0.000    0.000    0.002    0.002 scimath.py:1(<module>)
        1    0.000    0.000    0.012    0.012 ewm.py:1(<module>)
        1    0.000    0.000    0.088    0.088 widgets.py:1(<module>)
       92    0.000    0.000    0.000    0.000 {method 'acquire' of '_thread.RLock' objects}
       33    0.000    0.000    0.010    0.000 doccer.py:225(decorate)
      138    0.000    0.000    0.000    0.000 __init__.py:259(__iter__)
