Starting pygame as no macOS has been detected
pygame 2.6.1 (SDL 2.28.4, Python 3.12.3)
Hello from the pygame community. https://www.pygame.org/contribute.html
         5112270 function calls (4771430 primitive calls) in 7.599 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
 2371/552    0.018    0.000    0.250    0.000 _parser.py:452(_parse_sub)
    52401    0.018    0.000    0.018    0.000 {method 'items' of 'dict' objects}
     9264    0.018    0.000    0.018    0.000 {method 'splitlines' of 'str' objects}
      172    0.017    0.000    1.286    0.007 _model_construction.py:492(complete_model_class)
        2    0.016    0.008    0.178    0.089 cell.py:1(<module>)
    50210    0.016    0.000    0.016    0.000 _parser.py:240(__next)
     3621    0.016    0.000    0.023    0.000 <frozen importlib._bootstrap>:372(release)
 4484/453    0.016    0.000    0.036    0.000 registry.py:745(_get_dimensionality_recurse)
      240    0.015    0.000   20.329    0.085 __init__.py:1(<module>)
     3621    0.015    0.000    0.031    0.000 <frozen importlib._bootstrap>:124(setdefault)
     3621    0.015    0.000    0.024    0.000 <frozen importlib._bootstrap>:426(_get_module_lock)
     1731    0.015    0.000    0.134    0.000 _generate_schema.py:623(_generate_schema_from_property)
 1167/172    0.015    0.000    0.688    0.004 _generate_schema.py:735(_generate_schema_inner)
     3267    0.015    0.000    0.052    0.000 typing.py:175(_type_check)
     9174    0.015    0.000    0.028    0.000 typing.py:1188(__setattr__)
      181    0.014    0.000    0.037    0.000 __init__.py:355(namedtuple)
    21435    0.014    0.000    0.014    0.000 {method 'rpartition' of 'str' objects}
    30251    0.014    0.000    0.016    0.000 {built-in method builtins.setattr}
     4660    0.014    0.000    0.021    0.000 tokenize.py:569(_generate_tokens_from_c_tokenizer)
  651/638    0.014    0.000    0.373    0.001 _generate_schema.py:1784(_apply_annotations)
     1969    0.014    0.000    0.097    0.000 textwrap.py:419(dedent)
     1841    0.014    0.000    0.014    0.000 {method '__exit__' of '_io._IOBase' objects}
    31235    0.013    0.000    0.013    0.000 {method 'endswith' of 'str' objects}
 2780/425    0.013    0.000    0.037    0.000 registry.py:950(_get_root_units_recurse)
2740/2738    0.013    0.000    0.305    0.000 __init__.py:73(import_module)
    14795    0.013    0.000    0.024    0.000 typing.py:1134(_is_dunder)
     2771    0.013    0.000    0.021    0.000 flexparser.py:94(_summarize)
  526/172    0.012    0.000    0.032    0.000 _decorators.py:413(build)
     2030    0.012    0.000    0.067    0.000 <frozen importlib._bootstrap>:733(_init_module_attrs)
  2030/26    0.012    0.000    7.610    0.293 <frozen importlib._bootstrap>:911(_load_unlocked)
  4864/50    0.012    0.000    7.577    0.152 <frozen importlib._bootstrap>:480(_call_with_frames_removed)
        1    0.012    0.012    0.227    0.227 registry.py:605(_build_cache)
    40722    0.012    0.000    0.012    0.000 {method 'rstrip' of 'str' objects}
5864/1026    0.012    0.000    5.287    0.005 <frozen importlib._bootstrap>:1390(_handle_fromlist)
 8613/172    0.012    0.000    0.064    0.000 _core_utils.py:125(_record_valid_refs)
  994/591    0.012    0.000    0.179    0.000 _generate_schema.py:760(match_type)
5648/5645    0.012    0.000    0.023    0.000 typing.py:1178(__getattr__)
      172    0.011    0.000    0.107    0.001 _fields.py:99(collect_model_fields)
 8613/172    0.011    0.000    0.065    0.000 _discriminated_union.py:45(inner)
4100/1459    0.011    0.000    0.014    0.000 {built-in method _abc._abc_subclasscheck}
      172    0.011    0.000    0.023    0.000 _typing_extra.py:215(get_cls_type_hints_lenient)
     7367    0.011    0.000    0.194    0.000 inspect.py:856(getdoc)
     9387    0.011    0.000    0.011    0.000 {method 'match' of 're.Pattern' objects}
    12040    0.011    0.000    0.019    0.000 <frozen importlib._bootstrap>:645(parent)
     4252    0.011    0.000    0.021    0.000 artist.py:1555(aliased_name)
     1998    0.011    0.000    0.017    0.000 <frozen importlib._bootstrap_external>:802(spec_from_file_location)
    54106    0.011    0.000    0.011    0.000 {built-in method builtins.divmod}
     1387    0.011    0.000    0.067    0.000 typing.py:1242(__init__)
      173    0.011    0.000    1.492    0.009 _model_construction.py:61(__new__)
    33306    0.011    0.000    0.011    0.000 {method 'pop' of 'dict' objects}
      163    0.011    0.000    0.200    0.001 dataclasses.py:921(_process_class)
     2852    0.010    0.000    0.016    0.000 inspect.py:175(get_annotations)
     1424    0.010    0.000    0.015    0.000 _typing_extra.py:167(is_finalvar)
     1214    0.010    0.000    0.015    0.000 flexparser.py:532(__next__)
      172    0.010    0.000    0.677    0.004 _generate_schema.py:514(_model_schema)
     1774    0.010    0.000    0.127    0.000 <frozen importlib._bootstrap_external>:1183(get_data)
 8399/172    0.010    0.000    0.050    0.000 _core_utils.py:445(count_refs)
 1306/628    0.010    0.000    0.011    0.000 pint_eval.py:401(_build_eval_tree)
     3116    0.010    0.000    0.011    0.000 contextlib.py:104(__init__)
     3548    0.010    0.000    0.022    0.000 <frozen importlib._bootstrap_external>:132(_path_split)
     4244    0.010    0.000    0.011    0.000 core_schema.py:3942(_dict_not_none)
    10558    0.010    0.000    0.010    0.000 {method 'replace' of 'str' objects}
      674    0.010    0.000    0.015    0.000 tokenize.py:352(detect_encoding)
     2512    0.009    0.000    0.038    0.000 util.py:709(__init__)
9653/9652    0.009    0.000    0.114    0.000 {built-in method builtins.next}
      426    0.009    0.000    0.029    0.000 __init__.py:23(__new__)
      628    0.009    0.000    0.171    0.000 util.py:749(from_string)
 8613/172    0.009    0.000    0.056    0.000 _core_utils.py:161(_is_schema_valid)
     2623    0.009    0.000    0.009    0.000 {method 'format' of 'str' objects}
      172    0.009    0.000    0.052    0.000 _signature.py:71(_generate_signature_parameters)
7702/6752    0.009    0.000    0.055    0.000 {built-in method builtins.any}
    20907    0.009    0.000    0.012    0.000 _parser.py:256(match)
    11117    0.009    0.000    0.012    0.000 _generate_schema.py:351(_config_wrapper)
    16338    0.009    0.000    0.009    0.000 <frozen importlib._bootstrap>:491(_verbose_message)
     4603    0.009    0.000    0.014    0.000 typing.py:2340(get_args)
3268/1271    0.009    0.000    0.013    0.000 typing.py:406(_eval_type)
     6662    0.009    0.000    0.022    0.000 typing.py:113(get_origin)
      117    0.009    0.000    0.335    0.003 artist.py:1598(pprint_setters)
2087/2085    0.009    0.000    0.212    0.000 <frozen importlib._bootstrap_external>:1491(_get_spec)
3568/3351    0.009    0.000    0.135    0.000 typing.py:392(inner)
    28285    0.009    0.000    0.009    0.000 {method 'strip' of 'str' objects}
    56761    0.009    0.000    0.009    0.000 {built-in method builtins.chr}
  869/633    0.008    0.000    0.449    0.001 flexparser.py:981(consume_body)
     2895    0.008    0.000    0.013    0.000 inspect.py:747(unwrap)
        1    0.008    0.008    0.089    0.089 dammit.py:128(_populate_class_variables)
    19700    0.008    0.000    0.014    0.000 _core_utils.py:115(get_ref)
     4176    0.008    0.000    0.062    0.000 pint_eval.py:97(uncertainty_tokenizer)
14329/14324    0.008    0.000    0.014    0.000 {built-in method _abc._abc_instancecheck}
     5332    0.008    0.000    0.045    0.000 tokenize.py:460(tokenize)
      602    0.008    0.000    0.014    0.000 enum.py:254(__set_name__)
   629/50    0.008    0.000    0.033    0.001 serialisable.py:46(from_tree)
  1774/25    0.008    0.000    7.608    0.304 <frozen importlib._bootstrap_external>:989(exec_module)
     5125    0.008    0.000    0.238    0.000 flexparser.py:799(from_statement_and_config)
    17705    0.008    0.000    0.008    0.000 {method 'isidentifier' of 'str' objects}
 6253/172    0.008    0.000    0.037    0.000 _core_utils.py:486(inline_refs)
      764    0.008    0.000    0.144    0.000 dataclasses.py:449(_create_fn)
  694/415    0.007    0.000    0.053    0.000 fields.py:581(_type_analysis)
     7867    0.007    0.000    0.014    0.000 {built-in method builtins.max}
    15175    0.007    0.000    0.008    0.000 enum.py:1129(__new__)
     3621    0.007    0.000    0.010    0.000 <frozen importlib._bootstrap>:74(__new__)
      391    0.007    0.000    0.048    0.000 _util.py:377(getfullargspec_no_self)
     1249    0.007    0.000    0.019    0.000 inspect.py:2095(_signature_bound_method)
    18553    0.007    0.000    0.011    0.000 _parser.py:164(__len__)
 1020/953    0.007    0.000    0.012    0.000 _repr.py:85(display_as_type)
 1044/638    0.007    0.000    0.007    0.000 _generate_schema.py:167(apply_each_item_validators)
    39517    0.007    0.000    0.007    0.000 {built-in method builtins.callable}
    17104    0.007    0.000    0.007    0.000 {method 'pop' of 'list' objects}
17153/16917    0.007    0.000    0.012    0.000 {built-in method builtins.issubclass}
     3806    0.007    0.000    0.063    0.000 _generate_schema.py:2235(get_schema_or_ref)
       30    0.007    0.000    0.048    0.002 __init__.py:847(_rc_params_in_file)
      344    0.007    0.000    0.010    0.000 _config.py:152(core_config)
     5135    0.007    0.000    0.280    0.000 flexparser.py:819(consume)
  824/172    0.007    0.000    0.698    0.004 _schema_generation_shared.py:81(__call__)
     1858    0.007    0.000    0.035    0.000 util.py:713(from_word)
    20156    0.007    0.000    0.007    0.000 __init__.py:1009(__getitem__)
2030/2018    0.007    0.000    0.395    0.000 <frozen importlib._bootstrap>:806(module_from_spec)
       12    0.007    0.001    1.154    0.096 core.py:1(<module>)
     9972    0.006    0.000    0.008    0.000 inspect.py:3045(<genexpr>)
14329/14324    0.006    0.000    0.020    0.000 <frozen abc>:117(__instancecheck__)
     2696    0.006    0.000    0.256    0.000 inspect.py:3050(from_callable)
      327    0.006    0.000    0.015    0.000 fields.py:191(__init__)
      409    0.006    0.000    0.147    0.000 plain.py:141(from_string_and_config)
     5776    0.006    0.000    0.076    0.000 __init__.py:174(search)
    12878    0.006    0.000    0.010    0.000 _parser.py:176(append)
     1461    0.006    0.000    0.048    0.000 <frozen importlib._bootstrap>:463(_lock_unlock_module)
7868/6232    0.006    0.000    0.009    0.000 {built-in method builtins.hash}
     3155    0.006    0.000    0.011    0.000 util.py:574(__eq__)
     5322    0.006    0.000    0.009    0.000 <frozen importlib._bootstrap_external>:84(_unpack_uint32)
     2160    0.006    0.000    0.117    0.000 <frozen importlib._bootstrap>:416(__enter__)
     4119    0.006    0.000    0.006    0.000 _config.py:143(__getattr__)
      682    0.006    0.000    0.006    0.000 {built-in method _abc._abc_init}
      830    0.006    0.000    0.021    0.000 copy.py:61(copy)
      425    0.006    0.000    0.086    0.000 _generate_schema.py:1143(_union_schema)
     1933    0.006    0.000    0.019    0.000 _generics.py:207(get_args)
      999    0.006    0.000    0.058    0.000 registry.py:868(_get_root_units)
      279    0.006    0.000    0.072    0.000 compute.py:126(_decorate_compute_function)
     2091    0.006    0.000    0.010    0.000 base.py:35(__init__)
     1998    0.006    0.000    0.024    0.000 <frozen importlib._bootstrap_external>:1588(_get_spec)
     5111    0.006    0.000    0.010    0.000 {built-in method builtins.sorted}
      105    0.006    0.000    0.505    0.005 artist.py:159(_update_set_signature_and_docstring)
      912    0.006    0.000    0.018    0.000 typing_extensions.py:3029(_collect_parameters)
 1926/628    0.006    0.000    0.053    0.000 pint_eval.py:345(evaluate)
    12162    0.006    0.000    0.006    0.000 {method 'group' of 're.Match' objects}
     1179    0.006    0.000    0.015    0.000 _docscrape.py:68(read_to_condition)
    12406    0.006    0.000    0.007    0.000 util.py:561(__hash__)
